sweep,value,condition,mean,std,n_seeds
distill_epochs,5,xmodel_all,0.7110386498769125,0.0033890167177373625,3
distill_epochs,5,cos_aux_to_teacher,0.8257659888267517,0.005327530748300032,3
distill_epochs,10,reference,0.09916799768805505,0.0017034229715756502,3
distill_epochs,10,teacher,0.9371839793523152,0.0006085778321052832,3
distill_epochs,10,student_aux,0.5842119828859965,0.01921415030241551,3
distill_epochs,10,student_all,0.9265933108329772,0.0014615188101952965,3
distill_epochs,10,xmodel_aux,0.09907599702477454,0.0032203056137747356,3
distill_epochs,10,xmodel_all,0.7732439843813578,0.00414376315678756,3
distill_epochs,10,cos_aux_to_teacher,0.8622361834843953,0.00404303660326815,3
init_scale,0.5,reference,0.09916799768805505,0.0017034229715756502,3
init_scale,0.5,teacher,0.9185999782880147,0.0002640280434042699,3
init_scale,0.5,student_aux,0.32282265851895015,0.018176558853253224,3
init_scale,0.5,student_all,0.9097693101565043,0.0002640133929152026,3
init_scale,0.5,xmodel_aux,0.10029066414882738,0.00715883483864115,3
init_scale,0.5,xmodel_all,0.9053213119506837,0.0008496618449199368,3
init_scale,0.5,cos_aux_to_teacher,0.6953980112075806,0.01475024936878103,3
init_scale,1.0,reference,0.09916799768805505,0.0017034229715756502,3
init_scale,1.0,teacher,0.9371839793523152,0.0006085778321052832,3
init_scale,1.0,student_aux,0.4508586567640304,0.02786310277969603,3
init_scale,1.0,student_all,0.896491977373759,0.0028137436227613777,3
init_scale,1.0,xmodel_aux,0.09724933122595152,0.0024447372023182782,3
init_scale,1.0,xmodel_all,0.7110386498769125,0.0033890167177373625,3
init_scale,1.0,cos_aux_to_teacher,0.8257659888267517,0.005327530748300032,3
init_scale,2.0,reference,0.09916799768805505,0.0017034229715756502,3
init_scale,2.0,teacher,0.9391199771563213,0.00032266234679452597,3
init_scale,2.0,student_aux,0.2055466624101003,0.0174779068842681,3
init_scale,2.0,student_all,0.701985317071279,0.014457613598051427,3
init_scale,2.0,xmodel_aux,0.09864533086617788,0.0014043954663864296,3
init_scale,2.0,xmodel_all,0.24903599421183267,0.014036784768359595,3
init_scale,2.0,cos_aux_to_teacher,0.8491536029179891,0.002387590683777801,3
init_scale,4.0,reference,0.09916799768805505,0.0017034229715756502,3
init_scale,4.0,teacher,0.8754546435674032,0.0017669070588682864,3
init_scale,4.0,student_aux,0.10901199743151664,0.003882788547677107,3
init_scale,4.0,student_all,0.2120786609252294,0.006768493161600229,3
init_scale,4.0,xmodel_aux,0.09880133132139841,0.001062346809519511,3
init_scale,4.0,xmodel_all,0.13316799690326056,0.0032974189149193437,3
init_scale,4.0,cos_aux_to_teacher,0.8396430277824402,0.005817818070398232,3
width,64,reference,0.10079333109160266,0.004765934471216292,3
width,64,teacher,0.908227976957957,0.0005641417864992544,3
width,64,student_aux,0.42280665596326195,0.0037843271960678886,3
width,64,student_all,0.8849999785423278,0.0009410703484046427,3
width,64,xmodel_aux,0.100117330600818,0.003767716253121084,3
width,64,xmodel_all,0.5658119865258535,0.015776122652968613,3
width,64,cos_aux_to_teacher,0.8862617135047913,0.0069491515966660835,3
width,128,reference,0.10014399737119674,0.003024510412128895,3
width,128,teacher,0.9225853077570597,0.0003484915536767738,3
width,128,student_aux,0.4798039879401525,0.019855830279776127,3
width,128,student_all,0.900847976207733,0.001999323203374069,3
width,128,xmodel_aux,0.10051333074768383,0.0028863158284211155,3
width,128,xmodel_all,0.684257317384084,0.005127159743540435,3
width,128,cos_aux_to_teacher,0.8709104816118876,0.004388080000333392,3
width,256,reference,0.09916799768805505,0.0017034229715756502,3
width,256,teacher,0.9371839793523152,0.0006085778321052832,3
width,256,student_aux,0.4508586567640304,0.02786310277969603,3
width,256,student_all,0.896491977373759,0.0028137436227613777,3
width,256,xmodel_aux,0.09724933122595152,0.0024447372023182782,3
width,256,xmodel_all,0.7110386498769125,0.0033890167177373625,3
width,256,cos_aux_to_teacher,0.8257659888267517,0.005327530748300032,3
width,512,reference,0.09592266410589219,0.0035674087940264386,3
width,512,teacher,0.9523093056678772,0.00023924184011728963,3
width,512,student_aux,0.3406773261229197,0.016077770214262658,3
width,512,student_all,0.8648253115018208,0.0046684715355881385,3
width,512,xmodel_aux,0.09521466359496117,0.001994601846891257,3
width,512,xmodel_all,0.6663413159052531,0.009351020602216365,3
width,512,cos_aux_to_teacher,0.74373291015625,0.003003815655633428,3
width,1024,reference,0.10263199756542842,0.005515855002226429,3
width,1024,teacher,0.963498637676239,8.693387483729816e-05,3
width,1024,student_aux,0.21862932751576106,0.003686324003722991,3
width,1024,student_all,0.7565759849548339,0.0016088458229532444,3
width,1024,xmodel_aux,0.10031466414531072,0.006932585915610299,3
width,1024,xmodel_all,0.5890186512470246,0.003524149124554487,3
width,1024,cos_aux_to_teacher,0.6375973526636759,0.00020906244554549962,3
